Ticker,Dollar_Volume_at_932,Threshold_Used,Export_Time,Export_Date
DUOL,153357339.80,14000000.00,09:34:41,2026-02-27
AAOI,105093606.74,14000000.00,09:34:41,2026-02-27
NBIS,74934323.10,14000000.00,09:34:41,2026-02-27
KTOS,70398968.22,14000000.00,09:34:41,2026-02-27
APO,69795777.34,14000000.00,09:34:41,2026-02-27
NKE,64982184.96,14000000.00,09:34:41,2026-02-27
FLUT,58295890.68,14000000.00,09:34:41,2026-02-27
NEM,57150389.02,14000000.00,09:34:41,2026-02-27
TEAM,47268516.44,14000000.00,09:34:41,2026-02-27
AG,45490010.19,14000000.00,09:34:41,2026-02-27
DAL,37053559.00,14000000.00,09:34:41,2026-02-27
UAL,36862616.88,14000000.00,09:34:41,2026-02-27
CELH,34345752.48,14000000.00,09:34:41,2026-02-27
CRDO,34152581.09,14000000.00,09:34:41,2026-02-27
SBUX,32889077.20,14000000.00,09:34:41,2026-02-27
SMCI,32155055.46,14000000.00,09:34:41,2026-02-27
MRVL,31072320.00,14000000.00,09:34:41,2026-02-27
OXY,29073933.96,14000000.00,09:34:41,2026-02-27
ANET,27292085.44,14000000.00,09:34:41,2026-02-27
OKLO,26839259.36,14000000.00,09:34:41,2026-02-27
CRH,26830256.74,14000000.00,09:34:41,2026-02-27
TGT,26173512.00,14000000.00,09:34:41,2026-02-27
SLB,22825930.80,14000000.00,09:34:41,2026-02-27
ASTS,22754948.48,14000000.00,09:34:41,2026-02-27
ROKU,19987899.21,14000000.00,09:34:41,2026-02-27
PAYX,19953798.95,14000000.00,09:34:41,2026-02-27
GM,19614241.64,14000000.00,09:34:41,2026-02-27
ILMN,18973602.66,14000000.00,09:34:41,2026-02-27
MO,18042644.62,14000000.00,09:34:41,2026-02-27
BIDU,18018126.00,14000000.00,09:34:41,2026-02-27
EOG,17923090.49,14000000.00,09:34:41,2026-02-27
CCL,17757471.30,14000000.00,09:34:41,2026-02-27
ABNB,17337096.00,14000000.00,09:34:41,2026-02-27
DDOG,17271436.62,14000000.00,09:34:41,2026-02-27
FIG,16517043.39,14000000.00,09:34:41,2026-02-27
SE,16361092.47,14000000.00,09:34:41,2026-02-27
MP,16227483.60,14000000.00,09:34:41,2026-02-27
RDDT,15977087.13,14000000.00,09:34:41,2026-02-27
NDAQ,15282400.00,14000000.00,09:34:41,2026-02-27
DINO,15004583.52,14000000.00,09:34:41,2026-02-27
FIGR,14998984.48,14000000.00,09:34:41,2026-02-27
PAAS,14985745.50,14000000.00,09:34:41,2026-02-27
AU,14068876.80,14000000.00,09:34:41,2026-02-27
