Ticker,Name,Last Price,Market Cap,Volatility (1M),Volume Notional
PNR,Pentair plc,107.1500,N/A for download,30.01,112380098.65
ROKU,Roku Inc.,104.2600,N/A for download,30.07,293914257.26
HAE,Haemonetics Corporation,70.1100,N/A for download,30.09,106622026.02
GILD,Gilead Sciences Inc.,129.1100,N/A for download,30.17,940599014.83
BJ,BJ's Wholesale Club Holdings Inc.,94.6500,N/A for download,30.25,173361886.50
GM,General Motors Company,80.9300,N/A for download,30.34,664871917.35
CMC,Commercial Metals Company,77.8600,N/A for download,30.36,129725816.12
GTLB,GitLab Inc.,33.1500,N/A for download,30.61,122981792.70
MGM,MGM Resorts International,33.9000,N/A for download,30.75,136012495.20
AIG,American International Group Inc.,71.8900,N/A for download,31.07,272551452.81
BMRN,BioMarin Pharmaceutical Inc.,56.7700,N/A for download,31.12,117325423.60
GMED,Globus Medical Inc.,94.1500,N/A for download,31.33,109287625.30
CF,CF Industries Holdings Inc.,91.8600,N/A for download,31.35,236333090.58
VNOM,Viper Energy Inc.,39.1350,N/A for download,31.37,120372607.05
CFG,Citizens Financial Group Inc.,64.0600,N/A for download,31.44,751219576.72
DG,Dollar General Corporation,147.1600,N/A for download,31.49,528097051.56
MAS,Masco Corporation,70.1800,N/A for download,31.62,157876085.84
RYAN,Ryan Specialty Holdings Inc.,50.1400,N/A for download,31.67,114039268.38
KMX,CarMax Inc.,48.7500,N/A for download,31.67,141959902.50
WHR,Whirlpool Corporation,87.9000,N/A for download,31.69,108969454.20
WH,Wyndham Hotels & Resorts Inc.,79.5700,N/A for download,31.79,185267366.49
FM,First Quantum Minerals Ltd.,41.2300,N/A for download,31.85,120798952.40
WAL,Western Alliance Bancorporation,90.7300,N/A for download,31.87,107709575.12
BROS,Dutch Bros Inc.,61.1800,N/A for download,31.98,183701270.48
IR,Ingersoll Rand Inc.,89.8200,N/A for download,32.04,329902572.60
BAH,Booz Allen Hamilton Holding Corporation,95.5700,N/A for download,32.24,199692559.30
DAL,Delta Air Lines Inc.,68.9500,N/A for download,32.41,675104619.00
CNC,Centene Corporation,45.2600,N/A for download,32.46,356996849.40
ALKS,Alkermes plc,33.8500,N/A for download,32.61,110663909.40
FANG,Diamondback Energy Inc.,153.0000,N/A for download,32.85,299193030.00
DLTR,Dollar Tree Inc.,132.9400,N/A for download,32.90,540983643.08
LUG,Lundin Gold Inc.,115.5300,N/A for download,32.91,113747372.10
PCOR,Procore Technologies Inc.,62.9600,N/A for download,33.07,137993146.64
SWK,Stanley Black & Decker Inc.,83.5400,N/A for download,33.11,116360025.64
ULS,UL Solutions Inc.,72.9000,N/A for download,33.12,108586882.80
TRMB,Trimble Inc.,70.2400,N/A for download,33.17,208611816.64
AUB,Atlantic Union Bankshares Corporation,39.9900,N/A for download,33.21,106326211.80
OXY,Occidental Petroleum Corporation,43.5100,N/A for download,33.37,403614293.07
OVV,Ovintiv Inc.,40.8000,N/A for download,33.80,183479068.80
ELF,e.l.f. Beauty Inc.,91.8200,N/A for download,33.87,137628630.72
TWLO,Twilio Inc.,120.2700,N/A for download,33.88,162747078.87
OKTA,Okta Inc.,88.9400,N/A for download,33.91,198152716.78
AMCR,Amcor plc,42.4000,N/A for download,33.95,263368744.80
OLLI,Ollie's Bargain Outlet Holdings Inc.,116.6500,N/A for download,33.97,199886657.35
RBRK,Rubrik Inc.,64.3500,N/A for download,34.00,187132502.70
OC,Owens Corning,124.6800,N/A for download,34.43,150224687.76
JEF,Jefferies Financial Group Inc.,61.9500,N/A for download,34.45,105332593.80
AR,Antero Resources Corporation,34.2400,N/A for download,34.46,361732143.68
EMN,Eastman Chemical Company,68.3000,N/A for download,34.56,112005784.70
BKR,Baker Hughes Company,53.5900,N/A for download,34.90,573515356.90
FRPT,Freshpet Inc.,69.8600,N/A for download,34.90,146294245.16
WK,Workiva Inc.,80.1300,N/A for download,34.94,103945116.78
INCY,Incyte Corporation,104.6700,N/A for download,35.07,164371360.59
DINO,HF Sinclair Corporation,50.0300,N/A for download,35.10,190200001.57
BBIO,BridgeBio Pharma Inc.,78.1500,N/A for download,35.11,172886087.10
EXE,Expand Energy Corporation,109.5000,N/A for download,35.12,656348584.50
TOL,Toll Brothers Inc.,148.5400,N/A for download,35.20,162528903.04
BKU,BankUnited Inc.,50.3500,N/A for download,35.21,108530985.85
LUN,Lundin Mining Corporation,36.6700,N/A for download,35.37,142425949.97
SW,Smurfit Westrock Plc,41.9300,N/A for download,35.45,217255389.19
KKR,KKR & Co. Inc.,124.3300,N/A for download,35.59,476690669.08
WIX,Wix.com Ltd.,79.7400,N/A for download,35.61,216775502.46
RVTY,Revvity Inc.,116.5300,N/A for download,35.70,262525076.62
CG,The Carlyle Group Inc.,62.4200,N/A for download,35.90,180390054.80
TSEM,Tower Semiconductor Ltd.,133.4200,N/A for download,35.92,288541696.94
CRH,CRH plc,121.0000,N/A for download,36.05,749439757.00
IP,International Paper Company,42.7900,N/A for download,36.33,300036633.60
PAAS,Pan American Silver Corp.,79.0400,N/A for download,36.52,114196517.76
PSX,Phillips 66,141.6400,N/A for download,36.53,361101548.48
DECK,Deckers Outdoor Corporation,101.9400,N/A for download,36.70,385974810.36
XYZ,Block Inc.,64.0000,N/A for download,36.87,518743680.00
XPO,XPO Inc.,149.8200,N/A for download,36.87,176664148.32
AKAM,Akamai Technologies Inc.,93.7200,N/A for download,36.94,311808783.00
FLEX,Flex Ltd.,66.6000,N/A for download,37.02,191619122.40
TTD,The Trade Desk Inc.,35.3300,N/A for download,37.06,330922861.25
LCII,LCI Industries,151.1900,N/A for download,37.20,191942054.98
SOLS,Solstice Advanced Materials Inc.,63.4300,N/A for download,37.27,136251762.95
IVZ,Invesco Ltd.,29.1700,N/A for download,37.37,151829587.47
SN,SharkNinja Inc.,123.1600,N/A for download,37.44,180445410.80
ENPH,Enphase Energy Inc.,35.9700,N/A for download,37.47,166753107.18
TECKB,Teck Resources Limited,73.3100,N/A for download,37.76,111830006.40
SE,Sea Limited,121.1300,N/A for download,37.83,953916798.37
ALK,Alaska Air Group Inc.,48.9600,N/A for download,37.90,196316429.76
NTR,Nutrien Ltd.,95.0200,N/A for download,37.92,202308317.26
K,Kinross Gold Corporation,48.8400,N/A for download,38.01,293784614.64
TPG,TPG Inc.,63.5500,N/A for download,38.11,155710146.45
MNDY,monday.com Ltd.,127.1300,N/A for download,38.14,242576880.13
TRU,TransUnion,83.3500,N/A for download,38.24,168673311.25
ETSY,Etsy Inc.,60.9900,N/A for download,38.43,205606743.45
SHAK,Shake Shack Inc.,94.8100,N/A for download,38.47,152724972.93
CNQ,Canadian Natural Resources Limited,49.7500,N/A for download,38.52,517651337.00
NVT,nVent Electric plc,112.6600,N/A for download,38.53,188592502.02
CHWY,Chewy Inc.,32.3500,N/A for download,38.64,202083721.20
NTNX,Nutanix Inc.,41.5700,N/A for download,38.79,228892443.01
FLR,Fluor Corporation,44.8000,N/A for download,38.91,119674419.20
TOST,Toast Inc.,33.1500,N/A for download,39.10,272254353.15
CYTK,Cytokinetics Incorporated,63.0400,N/A for download,39.20,123022433.92
BBY,Best Buy Co. Inc.,66.5600,N/A for download,39.37,286639441.92
FBIN,Fortune Brands Innovations Inc.,60.8000,N/A for download,39.66,103168966.40
BTU,Peabody Energy Corporation,38.8300,N/A for download,39.71,150411771.51
IBKR,Interactive Brokers Group Inc.,75.8000,N/A for download,39.76,799053734.80
PHM,PulteGroup Inc.,129.9700,N/A for download,39.83,233878285.63
MASI,Masimo Corporation,146.2100,N/A for download,40.13,157270347.87
ANET,Arista Networks Inc.,127.2900,N/A for download,40.17,754962463.47
ILMN,Illumina Inc.,152.4800,N/A for download,40.21,345982304.32
