Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
MP,4,"2026-01-20, 2026-01-21, 2026-01-22, 2026-01-26",39093041.82,26001343.41,14000000.00
KTOS,4,"2026-01-20, 2026-01-21, 2026-01-22, 2026-01-26",36099348.24,24189451.06,14000000.00
SE,4,"2026-01-20, 2026-01-21, 2026-01-23, 2026-01-26",19860737.25,17817447.17,14000000.00
ANET,3,"2026-01-20, 2026-01-21, 2026-01-22",194558692.80,82042473.82,14000000.00
CRDO,3,"2026-01-20, 2026-01-21, 2026-01-23",33277444.20,23891923.52,14000000.00
MRNA,3,"2026-01-20, 2026-01-21, 2026-01-26",22471341.72,17030080.26,14000000.00
CRCL,3,"2026-01-20, 2026-01-21, 2026-01-23",21807277.50,18242054.94,14000000.00
HYMC,3,"2026-01-21, 2026-01-23, 2026-01-26",20591975.88,20400859.16,14000000.00
NBIS,2,"2026-01-23, 2026-01-26",66700871.40,47500208.25,14000000.00
PAAS,2,"2026-01-22, 2026-01-26",66396709.86,41195686.68,14000000.00
BIDU,2,"2026-01-20, 2026-01-21",64490269.03,45297621.95,14000000.00
AA,2,"2026-01-23, 2026-01-26",49640566.89,32532952.34,14000000.00
IONQ,2,"2026-01-23, 2026-01-26",48440993.28,31857079.00,14000000.00
COP,2,"2026-01-20, 2026-01-26",42373915.96,28480538.51,14000000.00
OKLO,2,"2026-01-23, 2026-01-26",35312772.08,31663594.25,14000000.00
TEAM,2,"2026-01-20, 2026-01-26",29647049.16,21871421.25,14000000.00
PDD,2,"2026-01-23, 2026-01-26",27524853.30,22727622.66,14000000.00
DELL,2,"2026-01-23, 2026-01-26",26280210.64,20328115.31,14000000.00
DDOG,2,"2026-01-20, 2026-01-21",25956359.61,19987426.04,14000000.00
RMBS,2,"2026-01-21, 2026-01-22",24954314.70,23031602.19,14000000.00
RBLX,2,"2026-01-22, 2026-01-26",21376236.48,20464649.24,14000000.00
OXY,2,"2026-01-20, 2026-01-26",16101322.51,15594457.36,14000000.00
BX,2,"2026-01-21, 2026-01-23",15839553.78,15269922.90,14000000.00
TCOM,2,"2026-01-20, 2026-01-21",14867279.28,14448177.29,14000000.00
SLB,1,2026-01-20,63651217.52,63651217.52,14000000.00
NEM,1,2026-01-26,57108974.67,57108974.67,14000000.00
RVMD,1,2026-01-26,38955279.00,38955279.00,14000000.00
SMCI,1,2026-01-23,34719687.20,34719687.20,14000000.00
HAL,1,2026-01-23,33863417.04,33863417.04,14000000.00
BKR,1,2026-01-26,24651892.65,24651892.65,14000000.00
AG,1,2026-01-22,21217937.10,21217937.10,14000000.00
ARM,1,2026-01-26,20080730.15,20080730.15,14000000.00
TEM,1,2026-01-20,20030392.86,20030392.86,14000000.00
MCHP,1,2026-01-22,18896189.62,18896189.62,14000000.00
ON,1,2026-01-22,18874270.16,18874270.16,14000000.00
LMND,1,2026-01-22,18045208.20,18045208.20,14000000.00
DUOL,1,2026-01-20,17765486.20,17765486.20,14000000.00
NRG,1,2026-01-20,17675822.20,17675822.20,14000000.00
IBKR,1,2026-01-21,17098056.00,17098056.00,14000000.00
SYF,1,2026-01-21,17036759.30,17036759.30,14000000.00
UAL,1,2026-01-20,17025349.00,17025349.00,14000000.00
EXE,1,2026-01-21,16941503.85,16941503.85,14000000.00
GILD,1,2026-01-22,16854834.60,16854834.60,14000000.00
SATS,1,2026-01-20,16297292.59,16297292.59,14000000.00
LEN,1,2026-01-20,15720371.87,15720371.87,14000000.00
DVN,1,2026-01-23,15642243.50,15642243.50,14000000.00
AU,1,2026-01-22,15067397.06,15067397.06,14000000.00
FIG,1,2026-01-20,14899329.60,14899329.60,14000000.00
HIMS,1,2026-01-20,14839920.45,14839920.45,14000000.00
NKE,1,2026-01-23,14816578.50,14816578.50,14000000.00
U,1,2026-01-20,14683457.08,14683457.08,14000000.00
AR,1,2026-01-21,14623751.52,14623751.52,14000000.00
CRH,1,2026-01-20,14499657.84,14499657.84,14000000.00
DLTR,1,2026-01-21,14230446.00,14230446.00,14000000.00
