Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
AA,4,"2026-03-02, 2026-03-03, 2026-03-04, 2026-03-05",48011368.60,23363428.84,14000000.00
ALAB,4,"2026-03-02, 2026-03-03, 2026-03-05, 2026-03-06",39804940.80,28105334.80,14000000.00
DOW,4,"2026-03-02, 2026-03-04, 2026-03-05, 2026-03-06",28992320.00,23669104.57,14000000.00
PAAS,4,"2026-03-02, 2026-03-03, 2026-03-04, 2026-03-06",26429489.25,18982507.20,14000000.00
OXY,3,"2026-03-02, 2026-03-05, 2026-03-06",153024623.28,67582704.16,14000000.00
DAL,3,"2026-03-02, 2026-03-03, 2026-03-04",62510256.90,33146354.38,14000000.00
MRNA,3,"2026-03-02, 2026-03-04, 2026-03-06",59793458.28,32974090.95,14000000.00
LYB,3,"2026-03-02, 2026-03-04, 2026-03-05",43813888.00,33218170.40,14000000.00
AXTI,3,"2026-03-02, 2026-03-03, 2026-03-04",42386502.12,30950037.66,14000000.00
SMCI,3,"2026-03-02, 2026-03-03, 2026-03-04",36218724.30,23605290.14,14000000.00
OKLO,3,"2026-03-02, 2026-03-03, 2026-03-04",31876405.56,22346666.03,14000000.00
ANET,3,"2026-03-03, 2026-03-04, 2026-03-05",29402555.67,24057331.94,14000000.00
ARM,3,"2026-03-02, 2026-03-03, 2026-03-04",28481688.48,22831760.65,14000000.00
PYPL,3,"2026-03-03, 2026-03-05, 2026-03-06",25133066.70,19850109.98,14000000.00
DDOG,3,"2026-03-02, 2026-03-03, 2026-03-05",23800335.10,20476945.79,14000000.00
CRH,3,"2026-03-02, 2026-03-03, 2026-03-05",21629179.36,18955744.99,14000000.00
GM,3,"2026-03-03, 2026-03-04, 2026-03-06",16059633.12,15553397.87,14000000.00
SE,2,"2026-03-02, 2026-03-03",153397785.03,86047612.81,14000000.00
SLB,2,"2026-03-02, 2026-03-05",69155692.15,44073975.71,14000000.00
CRDO,2,"2026-03-02, 2026-03-05",63500049.36,47558770.44,14000000.00
DVN,2,"2026-03-02, 2026-03-03",47624928.09,33412568.30,14000000.00
KR,2,"2026-03-02, 2026-03-05",33731602.23,24269797.97,14000000.00
NBIS,2,"2026-03-04, 2026-03-06",30204719.20,24547234.00,14000000.00
TEAM,2,"2026-03-03, 2026-03-04",29767207.50,22910023.63,14000000.00
UAL,2,"2026-03-03, 2026-03-05",28778922.12,27480448.06,14000000.00
NKE,2,"2026-03-03, 2026-03-05",28113158.48,25180558.64,14000000.00
AU,2,"2026-03-03, 2026-03-04",26169219.40,20877208.25,14000000.00
IONQ,2,"2026-03-03, 2026-03-04",24732576.78,22110713.19,14000000.00
WIX,2,"2026-03-04, 2026-03-05",23908396.81,23176077.57,14000000.00
ABNB,2,"2026-03-02, 2026-03-05",19206274.50,19194357.91,14000000.00
HYMC,2,"2026-03-02, 2026-03-03",18696809.89,17174598.84,14000000.00
CF,2,"2026-03-04, 2026-03-06",18129104.00,16734447.00,14000000.00
BIDU,2,"2026-03-02, 2026-03-03",17595904.48,17346075.59,14000000.00
KTOS,2,"2026-03-04, 2026-03-06",16722773.88,15650627.99,14000000.00
EL,2,"2026-03-02, 2026-03-03",15640369.50,15466887.83,14000000.00
MDLN,1,2026-03-05,84879413.01,84879413.01,14000000.00
CCL,1,2026-03-02,62422110.30,62422110.30,14000000.00
AG,1,2026-03-02,43366800.75,43366800.75,14000000.00
OKTA,1,2026-03-05,35121906.00,35121906.00,14000000.00
AR,1,2026-03-02,33093632.25,33093632.25,14000000.00
AS,1,2026-03-03,32801618.96,32801618.96,14000000.00
IOT,1,2026-03-06,28011287.34,28011287.34,14000000.00
NEM,1,2026-03-05,27891676.80,27891676.80,14000000.00
SHOP,1,2026-03-03,27696457.53,27696457.53,14000000.00
ONON,1,2026-03-03,26191810.08,26191810.08,14000000.00
BBY,1,2026-03-03,25763754.38,25763754.38,14000000.00
DIS,1,2026-03-05,25530343.70,25530343.70,14000000.00
SATS,1,2026-03-02,24199632.32,24199632.32,14000000.00
APO,1,2026-03-03,22325389.50,22325389.50,14000000.00
FRO,1,2026-03-02,22199336.91,22199336.91,14000000.00
RDDT,1,2026-03-05,21824604.09,21824604.09,14000000.00
APA,1,2026-03-02,21420013.44,21420013.44,14000000.00
VIK,1,2026-03-02,21367809.82,21367809.82,14000000.00
VIAV,1,2026-03-04,20804848.26,20804848.26,14000000.00
DUOL,1,2026-03-05,20224733.40,20224733.40,14000000.00
XYZ,1,2026-03-05,18030538.96,18030538.96,14000000.00
AMKR,1,2026-03-03,17973378.25,17973378.25,14000000.00
